n1, n2, n3, W
2.500e+01,2.500e+01,2.500e+01,1.000e+00
2.500e+01,2.500e+01,2.500e+01,1.010e+00
2.500e+01,2.500e+01,2.500e+01,1.020e+00
2.500e+01,2.500e+01,2.500e+01,1.030e+00
2.500e+01,2.500e+01,2.500e+01,1.040e+00
2.500e+01,2.500e+01,2.500e+01,1.050e+00
2.500e+01,2.500e+01,2.500e+01,1.060e+00
2.500e+01,2.500e+01,2.500e+01,1.070e+00
2.500e+01,2.500e+01,2.500e+01,1.080e+00
2.500e+01,2.500e+01,2.500e+01,1.090e+00
2.500e+01,2.500e+01,2.500e+01,1.100e+00
2.500e+01,2.500e+01,2.500e+01,1.110e+00
2.500e+01,2.500e+01,2.500e+01,1.120e+00
2.500e+01,2.500e+01,2.300e+01,1.130e+00
2.500e+01,2.500e+01,0.000e+00,1.140e+00
2.500e+01,2.500e+01,0.000e+00,1.150e+00
2.500e+01,2.500e+01,0.000e+00,1.160e+00
2.500e+01,2.500e+01,0.000e+00,1.170e+00
2.500e+01,2.500e+01,0.000e+00,1.180e+00
2.500e+01,2.500e+01,0.000e+00,1.190e+00
2.500e+01,2.500e+01,0.000e+00,1.200e+00
2.500e+01,2.500e+01,0.000e+00,1.210e+00
2.500e+01,2.500e+01,0.000e+00,1.220e+00
2.500e+01,2.500e+01,0.000e+00,1.230e+00
2.500e+01,2.300e+01,0.000e+00,1.240e+00
2.500e+01,0.000e+00,0.000e+00,1.250e+00
2.500e+01,0.000e+00,0.000e+00,1.260e+00
2.500e+01,0.000e+00,0.000e+00,1.270e+00
2.500e+01,0.000e+00,0.000e+00,1.280e+00
2.500e+01,0.000e+00,0.000e+00,1.290e+00
2.500e+01,0.000e+00,0.000e+00,1.300e+00
2.500e+01,0.000e+00,0.000e+00,1.310e+00
2.500e+01,0.000e+00,0.000e+00,1.320e+00
2.500e+01,0.000e+00,0.000e+00,1.330e+00
2.500e+01,0.000e+00,0.000e+00,1.340e+00
2.500e+01,0.000e+00,0.000e+00,1.350e+00
2.000e+00,0.000e+00,0.000e+00,1.360e+00
0.000e+00,0.000e+00,0.000e+00,1.370e+00
0.000e+00,0.000e+00,0.000e+00,1.380e+00
0.000e+00,0.000e+00,0.000e+00,1.390e+00
0.000e+00,0.000e+00,0.000e+00,1.400e+00
0.000e+00,0.000e+00,0.000e+00,1.410e+00
1.000e+00,0.000e+00,0.000e+00,1.420e+00
2.400e+01,0.000e+00,0.000e+00,1.430e+00
2.500e+01,0.000e+00,0.000e+00,1.440e+00
2.500e+01,0.000e+00,0.000e+00,1.450e+00
2.500e+01,0.000e+00,0.000e+00,1.460e+00
2.500e+01,0.000e+00,0.000e+00,1.470e+00
2.500e+01,0.000e+00,0.000e+00,1.480e+00
2.500e+01,0.000e+00,0.000e+00,1.490e+00
2.500e+01,0.000e+00,0.000e+00,1.500e+00
2.500e+01,0.000e+00,0.000e+00,1.510e+00
2.500e+01,0.000e+00,0.000e+00,1.520e+00
2.500e+01,2.100e+01,0.000e+00,1.530e+00
2.500e+01,2.400e+01,0.000e+00,1.540e+00
2.500e+01,2.400e+01,0.000e+00,1.550e+00
2.500e+01,2.500e+01,0.000e+00,1.560e+00
2.500e+01,2.500e+01,0.000e+00,1.570e+00
2.500e+01,2.500e+01,0.000e+00,1.580e+00
2.500e+01,2.500e+01,0.000e+00,1.590e+00
2.500e+01,2.500e+01,0.000e+00,1.600e+00
2.500e+01,2.500e+01,0.000e+00,1.610e+00
2.500e+01,2.500e+01,1.000e+01,1.620e+00
2.500e+01,2.500e+01,2.000e+01,1.630e+00
2.500e+01,2.500e+01,2.300e+01,1.640e+00
2.500e+01,2.500e+01,2.400e+01,1.650e+00
2.500e+01,2.500e+01,2.400e+01,1.660e+00
2.500e+01,2.500e+01,2.400e+01,1.670e+00
2.500e+01,2.500e+01,2.500e+01,1.680e+00
2.500e+01,2.500e+01,2.500e+01,1.690e+00
