T [J/k_B], <eps> an [j], <eps^2> an [j^2], <|m|> an, <m^2> an, C_V an [k_B], Chi an [1/J]<eps> pr [j], <eps^2> pr [j^2], <|m|> pr, <m^2> pr, C_V pr [k_B], Chi pr [1/J]
   1.000000e+00,  -1.072687e+00,   2.225428e+00,   6.942313e-01,   6.202908e-01,   2.686927e-01,   3.458343e-02,  -2.990759e-01,   1.130814e+00,   4.553136e-01,   3.357172e-01,   2.603418e-01,   3.210166e-02
   2.000000e+00,  -5.173587e-01,   1.358621e+00,   5.192822e-01,   4.092247e-01,   6.818503e-02,   1.744634e-02,  -2.223384e-01,   1.071673e+00,   4.335231e-01,   3.115334e-01,   6.388990e-02,   1.544889e-02
   3.000000e+00,  -3.390359e-01,   1.163507e+00,   4.665717e-01,   3.483845e-01,   2.912670e-02,   1.089128e-02,  -1.821900e-01,   1.048630e+00,   4.225938e-01,   2.996100e-01,   2.820657e-02,   1.008537e-02
   4.000000e+00,  -2.524915e-01,   1.092760e+00,   4.419879e-01,   3.208529e-01,   1.607825e-02,   7.843724e-03,  -1.596880e-01,   1.037526e+00,   4.164464e-01,   2.930296e-01,   1.581290e-02,   7.475122e-03
   5.000000e+00,  -2.012963e-01,   1.059596e+00,   4.278073e-01,   3.052904e-01,   1.019076e-02,   6.113569e-03,  -1.450445e-01,   1.031341e+00,   4.125968e-01,   2.888877e-01,   1.010303e-02,   5.932582e-03
   6.000000e+00,  -1.674233e-01,   1.041473e+00,   4.185839e-01,   2.953119e-01,   7.037791e-03,   5.004143e-03,  -1.359315e-01,   1.028263e+00,   4.102408e-01,   2.863782e-01,   7.012398e-03,   4.920031e-03
   7.000000e+00,  -1.433361e-01,   1.030508e+00,   4.121052e-01,   2.883763e-01,   5.152869e-03,   4.233773e-03,  -1.286945e-01,   1.025457e+00,   4.082836e-01,   2.843197e-01,   5.147421e-03,   4.200862e-03
   8.000000e+00,  -1.253220e-01,   1.023376e+00,   4.073045e-01,   2.832785e-01,   3.936213e-03,   3.668174e-03,  -1.231565e-01,   1.023803e+00,   4.068493e-01,   2.828069e-01,   3.939981e-03,   3.665017e-03
   9.000000e+00,  -1.113378e-01,   1.018480e+00,   4.036045e-01,   2.793745e-01,   3.105198e-03,   3.235498e-03,  -1.194510e-01,   1.021996e+00,   4.058261e-01,   2.817192e-01,   3.110269e-03,   3.250675e-03
   1.000000e+01,  -1.001655e-01,   1.014975e+00,   4.006653e-01,   2.762893e-01,   2.512355e-03,   2.893914e-03,  -1.161925e-01,   1.021283e+00,   4.049928e-01,   2.808506e-01,   2.519455e-03,   2.920787e-03
   1.100000e+01,  -9.103359e-02,   1.012380e+00,   3.982742e-01,   2.737900e-01,   2.074571e-03,   2.617447e-03,  -1.118540e-01,   1.018954e+00,   4.037600e-01,   2.795464e-01,   2.079427e-03,   2.648278e-03
   1.200000e+01,  -8.342932e-02,   1.010405e+00,   3.962909e-01,   2.717244e-01,   1.742091e-03,   2.389124e-03,  -1.107620e-01,   1.017226e+00,   4.033451e-01,   2.790944e-01,   1.744718e-03,   2.425148e-03
   1.300000e+01,  -7.699862e-02,   1.008867e+00,   3.946191e-01,   2.699886e-01,   1.483636e-03,   2.197391e-03,  -1.099425e-01,   1.017823e+00,   4.032338e-01,   2.789736e-01,   1.487774e-03,   2.238003e-03
   1.400000e+01,  -7.148909e-02,   1.007647e+00,   3.931909e-01,   2.685095e-01,   1.278745e-03,   2.034115e-03,  -1.075755e-01,   1.018215e+00,   4.027280e-01,   2.784494e-01,   1.283982e-03,   2.076063e-03
   1.500000e+01,  -6.671590e-02,   1.006662e+00,   3.919565e-01,   2.672341e-01,   1.113567e-03,   1.893403e-03,  -1.066750e-01,   1.016042e+00,   4.022488e-01,   2.779614e-01,   1.116291e-03,   1.935955e-03
   1.600000e+01,  -6.254058e-02,   1.005856e+00,   3.908791e-01,   2.661231e-01,   9.784612e-04,   1.770885e-03,  -1.044540e-01,   1.015774e+00,   4.017430e-01,   2.774141e-01,   9.813116e-04,   1.812760e-03
   1.700000e+01,  -5.885737e-02,   1.005187e+00,   3.899305e-01,   2.651466e-01,   8.665425e-04,   1.663248e-03,  -1.043220e-01,   1.015532e+00,   4.016604e-01,   2.773412e-01,   8.690732e-04,   1.706031e-03
   1.800000e+01,  -5.558407e-02,   1.004627e+00,   3.890888e-01,   2.642816e-01,   7.727914e-04,   1.567938e-03,  -1.026675e-01,   1.017255e+00,   4.014721e-01,   2.771479e-01,   7.767856e-04,   1.610667e-03
   1.900000e+01,  -5.265583e-02,   1.004153e+00,   3.883370e-01,   2.635101e-01,   6.934768e-04,   1.482953e-03,  -1.017370e-01,   1.017154e+00,   4.012564e-01,   2.769174e-01,   6.972322e-04,   1.525141e-03
   2.000000e+01,  -5.002080e-02,   1.003748e+00,   3.876614e-01,   2.628176e-01,   6.257790e-04,   1.406703e-03,  -1.018575e-01,   1.016563e+00,   4.012346e-01,   2.768847e-01,   6.288674e-04,   1.448693e-03
